Latitude Longitude Flood
2.994999999999999929e+01 -9.540000000000000568e+01 2.385276126243626058e-19
2.994999999999999929e+01 -9.534999999999999432e+01 2.230612433833716069e-19
2.994999999999999929e+01 -9.529999999999999716e+01 2.607229446721543585e-19
2.994999999999999929e+01 -9.525000000000000000e+01 2.439673669939982487e-19
2.994999999999999929e+01 -9.520000000000000284e+01 5.217459869785695006e-19
3.000000000000000000e+01 -9.559999999999999432e+01 3.233208572479532280e-19
3.000000000000000000e+01 -9.554999999999999716e+01 3.012316850945858366e-19
3.000000000000000000e+01 -9.550000000000000000e+01 2.813907863248931236e-19
3.000000000000000000e+01 -9.545000000000000284e+01 2.847846374814145994e-19
3.000000000000000000e+01 -9.540000000000000568e+01 2.779816006053077368e-19
3.000000000000000000e+01 -9.534999999999999432e+01 2.841154157299070642e-19
3.000000000000000000e+01 -9.529999999999999716e+01 2.885874727601850064e-19
3.000000000000000000e+01 -9.525000000000000000e+01 2.834620490857891285e-19
3.000000000000000000e+01 -9.520000000000000284e+01 5.695907472233403130e-19
2.969999999999999929e+01 -9.800000000000000000e+01 1.067629220269437914e-18
2.969999999999999929e+01 -9.795000000000000284e+01 1.130032366695035461e-18
2.969999999999999929e+01 -9.790000000000000568e+01 1.175838246685898216e-18
2.969999999999999929e+01 -9.784999999999999432e+01 1.147908979927846522e-18
2.969999999999999929e+01 -9.779999999999999716e+01 8.720543261714153811e-19
2.969999999999999929e+01 -9.775000000000000000e+01 7.996579015059264473e-19
2.969999999999999929e+01 -9.770000000000000284e+01 8.263813317672802698e-19
2.969999999999999929e+01 -9.765000000000000568e+01 7.527684601889484512e-19
2.969999999999999929e+01 -9.759999999999999432e+01 6.320367181324092739e-19
2.969999999999999929e+01 -9.754999999999999716e+01 8.272562782331015532e-19
2.969999999999999929e+01 -9.750000000000000000e+01 7.886112174390113488e-19
2.969999999999999929e+01 -9.745000000000000284e+01 7.091220919126672578e-19
2.969999999999999929e+01 -9.740000000000000568e+01 7.059341938065828880e-19
2.969999999999999929e+01 -9.734999999999999432e+01 7.424923582546155285e-19
2.969999999999999929e+01 -9.729999999999999716e+01 6.810515525975998257e-19
2.969999999999999929e+01 -9.725000000000000000e+01 6.049530229507863607e-19
2.969999999999999929e+01 -9.720000000000000284e+01 6.093030787104359701e-19
2.969999999999999929e+01 -9.715000000000000568e+01 6.322004076101047640e-19
2.969999999999999929e+01 -9.709999999999999432e+01 7.483010371929508678e-19
2.969999999999999929e+01 -9.704999999999999716e+01 7.319190923657884099e-19
2.969999999999999929e+01 -9.700000000000000000e+01 5.735318457027474378e-19
2.969999999999999929e+01 -9.695000000000000284e+01 5.272803428955396996e-19
2.969999999999999929e+01 -9.690000000000000568e+01 6.554481625728677113e-19
2.969999999999999929e+01 -9.684999999999999432e+01 5.933059843487311771e-19
2.969999999999999929e+01 -9.679999999999999716e+01 6.840528283380438893e-19
2.969999999999999929e+01 -9.675000000000000000e+01 6.746052502430050724e-19
2.969999999999999929e+01 -9.670000000000000284e+01 6.012250448980389817e-19
2.969999999999999929e+01 -9.665000000000000568e+01 5.595038238818987797e-19
2.969999999999999929e+01 -9.659999999999999432e+01 5.412950149905170293e-19
2.969999999999999929e+01 -9.654999999999999716e+01 4.134296851242317070e-19
2.969999999999999929e+01 -9.650000000000000000e+01 3.973291668225781524e-19
2.969999999999999929e+01 -9.645000000000000284e+01 5.386283273956083751e-19
2.969999999999999929e+01 -9.640000000000000568e+01 5.926231983698079884e-19
2.969999999999999929e+01 -9.634999999999999432e+01 5.196682442745259472e-19
2.969999999999999929e+01 -9.629999999999999716e+01 5.336568903283856793e-19
